rating_id,canonical_clip_id,record_id,prompt_id,media_path,media_sha256,request_mode,requested_vocal,demucs_score,panns_score,promoted_present,score_to_threshold_ratio,source_family,eligibility_rule,inclusion_probability,selection_seed,reveal_sequence,nonce_sha256,rating_source_required,topup_order
t7_f3a061c3bc6172fbc6cc,dev_0136__cand00,e31864d23b2a574d9cce6525,dev_0136,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0136/candidate_00_seed2026188700.wav,fd06320e5fbb8d2bc3405cb5768fd802315b23ada8e32624e372248b0e267990,instrumental,0,2.1278790882206522e-05,0.01635691337287426,0,0.37145984202547416,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,0.2684563758389262,20260713,1,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,pi:Richard,37
t7_ca3a823f8ed63fc36239,dev_0113__cand00,47f842004bc53cba916935ba,dev_0113,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0113/candidate_00_seed2026165700.wav,b0bc6b1035082452ce1e0ac5635e10be230a5b4895c95157f8960c69538a2258,instrumental,0,7.805138011462986e-06,0.01544938888400793,0,0.35085027495228877,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,0.2684563758389262,20260713,2,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,pi:Richard,24
t7_331020a0a38111fd70d3,dev_0199__cand07,e493c72a1eb26e4b7e643c84,dev_0199,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0199/candidate_07_seed2026251707.wav,aab66e41d134150fe611b80264e89137f71b35a61a25d324f58b62fb7c43d2b3,instrumental,0,1.1029344932467211e-05,0.011155616492033005,0,0.253340189885666,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,0.2684563758389262,20260713,3,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,pi:Richard,2
t7_6a8a49572edeb326f9ec,dev_0021__cand06,93c25d948c75832d32f0ab82,dev_0021,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0021/candidate_06_seed2026073706.wav,102d23b60664cfe5193c44254d5fc31f55877c3234892832ff0a83af05523472,instrumental,0,4.618186721927486e-06,0.014070326462388039,0,0.31953224461242535,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,0.2684563758389262,20260713,4,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,pi:Richard,5
t7_2c9f7104c12aef0e1d10,held_out_0083__cand06,1fb93483e2f165c5872d419f,held_out_0083,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0083/candidate_06_seed2026391706.wav,22d2378d451fc069e0b3e286d80aaa77e8c506ce875786f88aee8a8fc1ec31a1,instrumental,0,0.005749706644564867,0.012313897721469402,0,0.2796443557572684,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,0.2684563758389262,20260713,5,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,pi:Richard,3
t7_1911f9b2bc4b36eab3e4,dev_0140__cand04,3bc51ef825ae62bca851b62f,dev_0140,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0140/candidate_04_seed2026192704.wav,485daab898a26a45692940f350139e0ad50176bc34e8b0c3d85fc1a50baadb62,instrumental,0,1.8356080317971646e-06,0.015484721399843693,0,0.3516526641593185,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,0.2684563758389262,20260713,6,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,pi:Richard,4
t7_e5acf9d669aab1ba1868,dev_0022__cand02,5a2481b3579486b54e52e9d8,dev_0022,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0022/candidate_02_seed2026074702.wav,d777ccc3170ab1354f343966e3badd67a468047b2e21e3cecf796901b1cfe36a,instrumental,0,1.258533075088053e-06,0.010046415962278843,0,0.22815062971838293,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,0.2684563758389262,20260713,7,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,pi:Richard,13
t7_0993158670e49773f1ce,dev_0045__cand02,115b1ed38cd393ce5f749f52,dev_0045,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0045/candidate_02_seed2026097702.wav,6e52808fb8894ba3f5735b6c91b57d772c92f12cbf4da2333bed10e58ccf2723,instrumental,0,4.046072717756033e-06,0.00962116289883852,0,0.21849327981590352,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,0.2684563758389262,20260713,8,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,pi:Richard,17
t7_da8dc5d8cdbfc3899458,dev_0218__cand07,21d60a3e6861299f435cbb3c,dev_0218,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0218/candidate_07_seed2026270707.wav,18cec51567d1f7572a31800d6cbc63ccc59de5b3b1cc1374fd564de04acb8c29,instrumental,0,8.813889280645526e-07,0.012629675678908825,0,0.28681556388875484,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,0.2684563758389262,20260713,9,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,pi:Richard,36
t7_c8146f6bbf376a27650e,dev_0188__cand04,03692f30d12789df8e8f9c1b,dev_0188,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0188/candidate_04_seed2026240704.wav,a3ecbc0941e5766d4bc9e8bb2e96d406c7549ba636739465006da829523f202d,instrumental,0,0.0003406030882615596,0.011102274991571903,0,0.25212882287020316,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,0.2684563758389262,20260713,10,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,pi:Richard,38
