source_path,corpus,source_family,prompt_id,condition,arm,rep,attempt,seed,requested_vocal,present,type_correct,ledger_path,size_bytes,prompt_text,prompt_lyrics_present,prompt_duration_target,prompt_vocal_stratum
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0000/a1_r0_t00_seed2026318000.flac,PH2_ONLINE,online_run,held_out_0000,arm1,1,0,0,2026318000,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,7010140,"A melancholic classical piece lingering, featuring harp arpeggios under a single sustained cello note. (no vocals; the lead is the instrument named below).",0,39.4,instrumental
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0000/a1_r1_t02_seed2026318102.flac,PH2_ONLINE,online_run,held_out_0000,arm1,1,1,2,2026318102,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,8942045,"A melancholic classical piece lingering, featuring harp arpeggios under a single sustained cello note. (no vocals; the lead is the instrument named below).",0,39.4,instrumental
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0000/a6_r0_t00_seed2026318000.flac,PH2_ONLINE,online_run,held_out_0000,arm6,6,0,0,2026318000,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,7010140,"A melancholic classical piece lingering, featuring harp arpeggios under a single sustained cello note. (no vocals; the lead is the instrument named below).",0,39.4,instrumental
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0000/a6_r1_t02_seed2026318102.flac,PH2_ONLINE,online_run,held_out_0000,arm6,6,1,2,2026318102,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,8942045,"A melancholic classical piece lingering, featuring harp arpeggios under a single sustained cello note. (no vocals; the lead is the instrument named below).",0,39.4,instrumental
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a1_r0_t01_seed2026319001.flac,PH2_ONLINE,online_run,held_out_0001,arm1,1,0,1,2026319001,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w1.jsonl,6473508,"A doomy metal tune driving at 140 bpm, featuring tremolo-picked rhythm guitar, blast beats, layered screams, in verse-chorus form, with a clean intro into a heavy main riff, in English.",1,30.4,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a1_r1_t01_seed2026319101.flac,PH2_ONLINE,online_run,held_out_0001,arm1,1,1,1,2026319101,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w1.jsonl,6681189,"A doomy metal tune driving at 140 bpm, featuring tremolo-picked rhythm guitar, blast beats, layered screams, in verse-chorus form, with a clean intro into a heavy main riff, in English.",1,30.4,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a6_r0_t02_seed2026319002.flac,PH2_ONLINE,online_run,held_out_0001,arm6,6,0,2,2026319002,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w1.jsonl,6769094,"A doomy metal tune driving at 140 bpm, featuring tremolo-picked rhythm guitar, blast beats, layered screams, in verse-chorus form, with a clean intro into a heavy main riff, in English.",1,30.4,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a6_r0_t05_seed2026319005.flac,PH2_ONLINE,online_run,held_out_0001,arm6,6,0,5,2026319005,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w1.jsonl,6375767,"A doomy metal tune driving at 140 bpm, featuring tremolo-picked rhythm guitar, blast beats, layered screams, in verse-chorus form, with a clean intro into a heavy main riff, in English.",1,30.4,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a6_r0_t07_seed2026319007.flac,PH2_ONLINE,online_run,held_out_0001,arm6,6,0,7,2026319007,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w1.jsonl,6883096,"A doomy metal tune driving at 140 bpm, featuring tremolo-picked rhythm guitar, blast beats, layered screams, in verse-chorus form, with a clean intro into a heavy main riff, in English.",1,30.4,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a6_r1_t02_seed2026319102.flac,PH2_ONLINE,online_run,held_out_0001,arm6,6,1,2,2026319102,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w1.jsonl,6556788,"A doomy metal tune driving at 140 bpm, featuring tremolo-picked rhythm guitar, blast beats, layered screams, in verse-chorus form, with a clean intro into a heavy main riff, in English.",1,30.4,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a6_r1_t03_seed2026319103.flac,PH2_ONLINE,online_run,held_out_0001,arm6,6,1,3,2026319103,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w1.jsonl,6477571,"A doomy metal tune driving at 140 bpm, featuring tremolo-picked rhythm guitar, blast beats, layered screams, in verse-chorus form, with a clean intro into a heavy main riff, in English.",1,30.4,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a6_r1_t04_seed2026319104.flac,PH2_ONLINE,online_run,held_out_0001,arm6,6,1,4,2026319104,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w1.jsonl,6344568,"A doomy metal tune driving at 140 bpm, featuring tremolo-picked rhythm guitar, blast beats, layered screams, in verse-chorus form, with a clean intro into a heavy main riff, in English.",1,30.4,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a6_r2_t06_seed2026319206.flac,PH2_ONLINE,online_run,held_out_0001,arm6,6,2,6,2026319206,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w1.jsonl,6885922,"A doomy metal tune driving at 140 bpm, featuring tremolo-picked rhythm guitar, blast beats, layered screams, in verse-chorus form, with a clean intro into a heavy main riff, in English.",1,30.4,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a6_r2_t08_seed2026319208.flac,PH2_ONLINE,online_run,held_out_0001,arm6,6,2,8,2026319208,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w1.jsonl,6899582,"A doomy metal tune driving at 140 bpm, featuring tremolo-picked rhythm guitar, blast beats, layered screams, in verse-chorus form, with a clean intro into a heavy main riff, in English.",1,30.4,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0002/a1_r0_t03_seed2026320003.flac,PH2_ONLINE,online_run,held_out_0002,arm1,1,0,3,2026320003,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w2.jsonl,8637892,Could we try a plain-spoken folk piece around 140 bpm? Nothing fancy.,1,42.2,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0002/a1_r1_t03_seed2026320103.flac,PH2_ONLINE,online_run,held_out_0002,arm1,1,1,3,2026320103,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w2.jsonl,8797239,Could we try a plain-spoken folk piece around 140 bpm? Nothing fancy.,1,42.2,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0002/a6_r0_t03_seed2026320003.flac,PH2_ONLINE,online_run,held_out_0002,arm6,6,0,3,2026320003,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w2.jsonl,8637892,Could we try a plain-spoken folk piece around 140 bpm? Nothing fancy.,1,42.2,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0002/a6_r1_t05_seed2026320105.flac,PH2_ONLINE,online_run,held_out_0002,arm6,6,1,5,2026320105,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w2.jsonl,8596274,Could we try a plain-spoken folk piece around 140 bpm? Nothing fancy.,1,42.2,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0003/a1_r0_t02_seed2026321002.flac,PH2_ONLINE,online_run,held_out_0003,arm1,1,0,2,2026321002,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w3.jsonl,7122018,"A wistful pop piece lingering, featuring glassy keys and a subtle clap pattern. Lyrics in English.",1,33.7,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0003/a1_r1_t00_seed2026321100.flac,PH2_ONLINE,online_run,held_out_0003,arm1,1,1,0,2026321100,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w3.jsonl,7470486,"A wistful pop piece lingering, featuring glassy keys and a subtle clap pattern. Lyrics in English.",1,33.7,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0003/a6_r0_t02_seed2026321002.flac,PH2_ONLINE,online_run,held_out_0003,arm6,6,0,2,2026321002,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w3.jsonl,7122018,"A wistful pop piece lingering, featuring glassy keys and a subtle clap pattern. Lyrics in English.",1,33.7,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0003/a6_r1_t01_seed2026321101.flac,PH2_ONLINE,online_run,held_out_0003,arm6,6,1,1,2026321101,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w3.jsonl,7246276,"A wistful pop piece lingering, featuring glassy keys and a subtle clap pattern. Lyrics in English.",1,33.7,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0004/a1_r0_t04_seed2026322004.flac,PH2_ONLINE,online_run,held_out_0004,arm1,1,0,4,2026322004,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w4.jsonl,14591194,"A moody hip_hop number around 110 bpm, featuring boom-bap kick-snare, jazz-guitar loop, vinyl crackle. Lyrics in English.",1,65.9,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0004/a1_r1_t04_seed2026322104.flac,PH2_ONLINE,online_run,held_out_0004,arm1,1,1,4,2026322104,1,0,0,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w4.jsonl,13793087,"A moody hip_hop number around 110 bpm, featuring boom-bap kick-snare, jazz-guitar loop, vinyl crackle. Lyrics in English.",1,65.9,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0004/a6_r0_t03_seed2026322003.flac,PH2_ONLINE,online_run,held_out_0004,arm6,6,0,3,2026322003,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w4.jsonl,12767540,"A moody hip_hop number around 110 bpm, featuring boom-bap kick-snare, jazz-guitar loop, vinyl crackle. Lyrics in English.",1,65.9,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0004/a6_r1_t05_seed2026322105.flac,PH2_ONLINE,online_run,held_out_0004,arm6,6,1,5,2026322105,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w4.jsonl,13706699,"A moody hip_hop number around 110 bpm, featuring boom-bap kick-snare, jazz-guitar loop, vinyl crackle. Lyrics in English.",1,65.9,vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0005/a1_r0_t03_seed2026323003.flac,PH2_ONLINE,online_run,held_out_0005,arm1,1,0,3,2026323003,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w5.jsonl,7552441,"A lonesome folk tune blistering 180 bpm, featuring banjo and fiddle, sometimes a bowed bass, in 32-bar AABA form, (instrumental piece, no lyrics, no vocal stem).",0,37.5,instrumental
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0005/a1_r1_t01_seed2026323101.flac,PH2_ONLINE,online_run,held_out_0005,arm1,1,1,1,2026323101,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w5.jsonl,7899344,"A lonesome folk tune blistering 180 bpm, featuring banjo and fiddle, sometimes a bowed bass, in 32-bar AABA form, (instrumental piece, no lyrics, no vocal stem).",0,37.5,instrumental
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0005/a6_r0_t03_seed2026323003.flac,PH2_ONLINE,online_run,held_out_0005,arm6,6,0,3,2026323003,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w5.jsonl,7552441,"A lonesome folk tune blistering 180 bpm, featuring banjo and fiddle, sometimes a bowed bass, in 32-bar AABA form, (instrumental piece, no lyrics, no vocal stem).",0,37.5,instrumental
