rating_id,clip_id,clip_path,media_sha256,true_label,rating_source,gold_source,judge_role,calibration_stratum,inclusion_probability,topup_order
t7_d98caee6d45cb6b5e8e2,t7_t7_d98caee6d45cb6b5e8e2,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0131/candidate_06_seed2026439706.wav,00d5375069b575aa510da5cbeb85bedd1ef74215a0f760d19512df7b0643fde9,no,pi:Richard,t7_all_hash_disjoint_pi_gold,judge_evaluation_topup,t7_far_below_predicted_absent,0.2684563758389262,1
t7_331020a0a38111fd70d3,t7_t7_331020a0a38111fd70d3,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0199/candidate_07_seed2026251707.wav,aab66e41d134150fe611b80264e89137f71b35a61a25d324f58b62fb7c43d2b3,no,pi:Richard,t7_all_hash_disjoint_pi_gold,judge_evaluation_topup,t7_far_below_predicted_absent,0.2684563758389262,2
t7_2c9f7104c12aef0e1d10,t7_t7_2c9f7104c12aef0e1d10,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0083/candidate_06_seed2026391706.wav,22d2378d451fc069e0b3e286d80aaa77e8c506ce875786f88aee8a8fc1ec31a1,no,pi:Richard,t7_all_hash_disjoint_pi_gold,judge_evaluation_topup,t7_far_below_predicted_absent,0.2684563758389262,3
t7_1911f9b2bc4b36eab3e4,t7_t7_1911f9b2bc4b36eab3e4,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0140/candidate_04_seed2026192704.wav,485daab898a26a45692940f350139e0ad50176bc34e8b0c3d85fc1a50baadb62,no,pi:Richard,t7_all_hash_disjoint_pi_gold,judge_evaluation_topup,t7_far_below_predicted_absent,0.2684563758389262,4
t7_6a8a49572edeb326f9ec,t7_t7_6a8a49572edeb326f9ec,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0021/candidate_06_seed2026073706.wav,102d23b60664cfe5193c44254d5fc31f55877c3234892832ff0a83af05523472,no,pi:Richard,t7_all_hash_disjoint_pi_gold,judge_evaluation_topup,t7_far_below_predicted_absent,0.2684563758389262,5
t7_331a4c74bc8e534c17c2,t7_t7_331a4c74bc8e534c17c2,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0189/candidate_07_seed2026241707.wav,de85e816d8414abc23d4618d8fefc81e5aa09ffd27dacb93835385f12bc7ce82,no,pi:Richard,t7_all_hash_disjoint_pi_gold,judge_evaluation_topup,t7_far_below_predicted_absent,0.2684563758389262,6
t7_2d90305ed364b471bfaf,t7_t7_2d90305ed364b471bfaf,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0114/candidate_05_seed2026422705.wav,b86f36affacba1a22b0bdef9c44efa6fbc096be27a8f3a9cb94d69d743abe5e5,no,pi:Richard,t7_all_hash_disjoint_pi_gold,judge_evaluation_topup,t7_far_below_predicted_absent,0.2684563758389262,7
t7_480df9a366dc09d2ebd1,t7_t7_480df9a366dc09d2ebd1,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0242/candidate_07_seed2026294707.wav,677c5f28ee86b839705dfa43ace507372ae93209f5bd45bbe70ae0f08c3fab9e,no,pi:Richard,t7_all_hash_disjoint_pi_gold,judge_evaluation_topup,t7_far_below_predicted_absent,0.2684563758389262,8
t7_0fb0d5481f981069734a,t7_t7_0fb0d5481f981069734a,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0000/candidate_03_seed2026308703.wav,3d74bfba63efda9475d20ed70103fddc2bb00f768cb6f998ad690643dfd23e17,no,pi:Richard,t7_all_hash_disjoint_pi_gold,judge_evaluation_topup,t7_far_below_predicted_absent,0.2684563758389262,9
t7_389589194b362ba9a9a6,t7_t7_389589194b362ba9a9a6,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0103/candidate_07_seed2026155707.wav,6a90cab7fc4c5b63864f60f379baf129fa9ca39dc6dd61cfaf23a1698cb8a673,no,pi:Richard,t7_all_hash_disjoint_pi_gold,judge_evaluation_topup,t7_far_below_predicted_absent,0.2684563758389262,10
t7_7c431c2bcaeeb0c43527,t7_t7_7c431c2bcaeeb0c43527,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0231/candidate_02_seed2026539702.wav,222fc6d3376039e8330b33fffcc6c63f119f6ab1d723ab58be7e65848cf9d249,no,pi:Richard,t7_all_hash_disjoint_pi_gold,judge_evaluation_topup,t7_far_below_predicted_absent,0.2684563758389262,11
